Codigo	Stream	Aquaculture	Month	Ponto	Ae_pl 	An_sp	Ap_al	Ap_ca 	Ap_af	Ap_pi	Ap_vl	As_bo	As_fa	As_la	As_pa	Br_co 	Br_ex	Br_ih	Br_tu	Ca_ca	Ca_da	Ce_go	Ce_ih	Ch_go	Ch_ze	Co_ae	Co_re	Cr_br	Cy_mo	Ei_tr	Er_er	Fa_ha	Ga_gu	Ge_ip	Gy_in	Gy_pa	Gy_sy	Ho_mb	Ho_mi	Ho_sp	Hy_an	Hy_sp	Hy_sp2	Hy_ti	Im_mi	Im_sc	Le_fr	Lo_pl	Mo_au	Mo_bo	Mo_gr	Mo_sa	Ol_pa	Ol_pi	Or_ni	Ot_po	Pa_na	Ph_ha	Ph_te	Pi_ar	Pi_av	Pi_gr	Pi_st	Po_re	Pr_li	Py_au	Rh_qu	Ri_la	Se_no	St_br	St_in	St_ma	Sy_ma	Ta_ne 
APA2S18	16_Janeiro	Moderate	Setembro	Meio	0	0	0	0	0	0	0	0	208	796	48	0	0	0	2758	0	0	0	0	0	0	1103	0	0	0	0	0	0	0	0	0	48	0	0	48	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	144	0	0	0	181	0	0	0	0	0	398	0	0	0	0	0	0	0
APA3S18	16_Janeiro	Moderate	Setembro	Foz	83	0	0	0	0	0	0	0	0	1475	0	0	0	0	3378	41	0	0	0	0	41	1843	0	166	0	0	181	0	0	0	1475	41	0	41	0	0	41	0	0	0	41	125	83	0	41	0	0	0	0	0	0	0	0	41	0	0	8637	0	0	0	0	0	83	0	0	0	0	0	0	0
BAI1D17	Baiano	Moderate	Dezembro	Cabeceira	0	0	0	0	0	111	0	0	509	0	51	0	0	0	0	0	0	0	51	0	51	0	0	0	0	0	0	0	0	0	206	51	51	0	0	0	484	0	51	102	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	1453	0
BAI2D17	Baiano	Moderate	Dezembro	Meio	0	0	0	0	0	0	0	0	2364	61	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	61	0	0	0	306	0	319	61	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	61	0
BAI3D17	Baiano	Moderate	Dezembro	Foz	37	0	0	37	0	0	0	0	0	192	0	0	37	37	74	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	139	37	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	80	37	0	0	0	0	0	0	0	0	184	0	0	0	37	0
BAI1M18	Baiano	Moderate	Marco	Cabeceira	0	0	0	0	0	0	0	0	47	94	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	10553	0	0	0	0	0	3618	0	206	0	0	1055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	142	0	0	0	0	0	6181	0
BAI2M18	Baiano	Moderate	Marco	Meio	0	0	0	0	0	38	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1182	38	0	0	0	0	146	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	225	0
BAI3M18	Baiano	Moderate	Marco	Foz	0	0	0	0	0	46	0	0	0	46	0	0	46	0	139	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	175	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAI1J18	Baiano	Moderate	Junho	Cabeceira	49	0	0	0	0	49	0	0	98	49	0	0	49	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0	0	0	0	0	49	0	107	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	1150	0
BAI2J18	Baiano	Moderate	Junho	Meio	0	0	0	0	0	37	0	0	37	110	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	37	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	184	0	0	0	74	0	0	0	0	0	0	0
BAI3J18	Baiano	Moderate	Junho	Foz	0	0	0	0	0	0	0	0	0	166	0	0	41	0	82	0	0	0	41	0	41	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAI1S18	Baiano	Moderate	Setembro	Cabeceira	108	0	0	0	0	0	0	0	449	247	431	49	0	0	0	0	0	0	49	0	0	375	0	0	0	0	0	0	0	0	697	99	152	0	0	0	1724	0	216	148	0	323	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	49	0	0	0	187	0	0	0	0	0	3845	0
BAI2S18	Baiano	Moderate	Setembro	Meio	0	0	0	0	0	0	0	0	0	75	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	113	0	0	0	0	75	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	38	0
BAI3S18	Baiano	Moderate	Setembro	Foz	0	0	0	0	0	0	0	0	37	188	0	0	37	0	226	0	0	0	0	0	0	37	0	0	0	0	37	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	112	0	0	0	75	0	0	0	0	0	0	0	0	0	37	0
BRA1D17	Antas	Moderate	Dezembro	Cabeceira	54	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	1075	0	164	0	0	0	965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	0	0	0	0	0	0	0	0	594	0	0	0	0	0	54	0
BRA2D17	Antas	Moderate	Dezembro	Meio	311	0	0	0	0	0	0	0	0	0	1562	0	0	0	0	0	39	0	0	0	147	0	0	0	0	0	0	0	0	0	886	0	1082	39	0	0	1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	736	0	0	0	0	0	0	0
BRA3D17	Antas	Moderate	Dezembro	Foz	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	512	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0
BRA1M18	Antas	Moderate	Marco	Cabeceira	437	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	52	0	0	0	52	0	0	0	0	0	0	0	0	0	1750	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	437	0	0	0	0	0	52	0
