Codigo	Riacho	Categoria	Mes	Ponto	Ae_pl 	An_sp	Ap_al	Ap_ca 	Ap_af	Ap_pi	Ap_vl	As_bo	As_fa	As_la	As_pa	Br_co 	Br_ex	Br_ih	Br_tu	Ca_ca	Ca_da	Ce_go	Ce_ih	Ch_go	Ch_ze	Co_ae	Co_re	Cr_br	Cy_mo	Ei_tr	Er_er	Fa_ha	Ga_gu	Ge_br	Gy_in	Gy_pa	Gy_sy	Ho_mb	Ho_mi	Ho_sp	Hy_an	Hy_sp	Hy_sp2	Hy_ti	Im_mi	Im_sc	Le_fr	Lo_pl	Mo_au	Mo_bo	Mo_gr	Mo_sa	Ol_pa	Ol_pi	Or_ni	Ot_po	Pa_na	Ph_ha	Ph_te	Pi_ar	Pi_av	Pi_gr	Pi_st	Po_re	Pr_li	Py_au	Rh_qu	Ri_la	Se_no	St_br	St_in	St_ma	Sy_ma	Ta_ne 
PIO3D17	Pioneiro	Intensa	Dezembro	Foz	0	0	0	0	0	0	0	0	0	23	2	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	2	0	2	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
PIO1M18	Pioneiro	Intensa	Marco	Cabeceira	0	0	0	0	0	0	0	0	0	195	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	7	0	0	0	0	54	0	7	20	0	0	0	0	0	0	0	0	0	0	135	0	0	0	7	0	0	0	0	0	0	0	20	7	0	0	0	0	0	0
PIO2M18	Pioneiro	Intensa	Marco	Meio	0	0	0	0	0	0	0	0	18	41	0	0	0	0	109	4	0	0	0	0	0	0	0	23	14	0	0	0	0	0	104	0	0	0	0	0	4	0	41	132	0	236	0	0	0	0	0	0	0	0	45	0	0	0	4	0	2641	4	23	0	0	0	64	0	41	0	0	0	14	0
PIO3M18	Pioneiro	Intensa	Marco	Foz	0	0	0	0	0	0	0	0	0	23	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	3	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0
PIO1J18	Pioneiro	Intensa	Junho	Cabeceira	13	0	0	0	0	0	0	0	0	114	7	0	0	7	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	53	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	13	0	0	0	13	20	0	0	0	0	0	0
PIO2J18	Pioneiro	Intensa	Junho	Meio	11	0	0	0	0	0	0	0	16	37	0	0	0	11	345	11	0	0	11	0	0	0	0	16	0	0	0	0	0	0	255	0	5	0	5	0	11	0	37	96	0	292	0	0	0	0	0	0	0	0	90	0	0	0	0	0	2427	0	11	0	0	0	32	0	0	0	11	0	5	0
PIO3J18	Pioneiro	Intensa	Junho	Foz	0	0	0	0	0	0	0	0	0	20	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	8	0	0	0	4	0	0	4	0	4	0	0	0	0	0	0	0	0	16	0	0	0	4	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0
PIO1S18	Pioneiro	Intensa	Setembro	Cabeceira	13	0	0	0	0	0	0	0	0	93	0	0	0	7	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	7	0	0	20	0	7	0	13	13	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	7	0	0	0	13	0	0	0	0	0	7	0
PIO2S18	Pioneiro	Intensa	Setembro	Meio	0	0	0	0	0	5	0	0	38	82	5	0	0	0	169	16	0	0	49	0	0	0	0	16	0	0	0	0	0	0	43	43	0	5	16	0	22	0	22	208	0	251	0	0	0	0	0	0	0	0	22	0	0	0	5	0	3508	0	11	0	0	0	33	11	0	0	0	0	76	0
PIO3S18	Pioneiro	Intensa	Setembro	Foz	0	0	0	0	0	0	0	0	4	20	8	0	0	0	68	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	44	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	8	0	4	0	0	0	0	0	12	4	4	0	0	0	0	0
